customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
TEL100000,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,93.02,2777.04,No
TEL100001,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,110.54,1562.73,No
TEL100002,Female,0,Yes,No,27,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,71.23,1776.74,Yes
TEL100003,Male,0,No,No,58,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer,63.5,3423.6,No
TEL100004,Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.16,225.36,Yes
TEL100005,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer,104.1,1412.57,No
TEL100006,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,97.1,943.22,No
TEL100007,Female,0,No,No,67,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,55.96,3512.45,No
TEL100008,Male,0,Yes,No,9,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Bank transfer,71.49,701.93,No
TEL100009,Male,0,Yes,No,34,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,87.05,2868.56,No
TEL100010,Female,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card,83.05,832.51,No
TEL100011,Female,0,Yes,Yes,32,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,63.02,1846.87,No
TEL100012,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,74.6,814.8,Yes
TEL100013,Female,0,No,Yes,20,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer,62.75,1209.6,No
TEL100014,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card,60.46,4425.25,No
TEL100015,Female,0,No,No,39,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card,113.46,4888.51,No
TEL100016,Female,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,91.0,2712.25,No
TEL100017,Male,0,No,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,28.13,897.12,No
